GWAS	Method	AUC
AD1	NETWAS	0.573606271777
AD1	NETWAS	0.59869031569
AD1	NETWAS	0.630581041094
AD1	NETWAS	0.518428378828
AD1	NETWAS	0.629073065677
AD1	NETWAS	0.620314114125
AD1	NETWAS	0.600401834959
AD1	NETWAS	0.651727715231
AD1	NETWAS	0.647803477317
AD1	NETWAS	0.48534484268
AD1	NETWAS	0.629869731935
AD1	NETWAS	0.54694859314
AD1	NETWAS	0.597534711887
AD1	NETWAS	0.60670512843
AD1	NETWAS	0.576781993592
AD1	NETWAS	0.589629331326
AD1	NETWAS	0.634761350306
AD1	NETWAS	0.60207177
AD1	NETWAS	0.611412900741
AD1	NETWAS	0.693513298198
AD1	NETWAS	0.642612014778
AD1	NETWAS	0.589780347732
AD1	NETWAS	0.623222821424
AD1	NETWAS	0.648449127169
AD1	NETWAS	0.587552308581
AD1	NETWAS	0.571343214329
AD1	NETWAS	0.600288025493
AD1	NETWAS	0.59026403796
AD1	NETWAS	0.635269115613
AD1	NETWAS	0.632618668254
AD1	NETWAS	0.648980967556
AD1	NETWAS	0.627116418329
AD1	NETWAS	0.597825801481
AD1	NETWAS	0.5867293786
AD1	NETWAS	0.593875299844
AD1	NETWAS	0.517979706897
AD1	NETWAS	0.597790783184
AD1	NETWAS	0.535206520407
AD1	NETWAS	0.646960849544
AD1	NETWAS	0.608195594698
AD1	NETWAS	0.57767058288
AD1	NETWAS	0.648278412971
AD1	NETWAS	0.594547213419
AD1	NETWAS	0.540759109135
AD1	NETWAS	0.655187960709
AD1	NETWAS	0.601428308791
AD1	NETWAS	0.577475793602
AD1	NETWAS	0.626772801289
AD1	NETWAS	0.548259590636
AD1	NETWAS	0.559574877874
AD1	NETWAS	0.490910563269
AD1	NETWAS	0.640497785093
AD1	NETWAS	0.592039027892
AD1	NETWAS	0.610401747413
AD1	NETWAS	0.598935443769
AD1	NETWAS	0.644010558017
AD1	NETWAS	0.648762103199
AD1	NETWAS	0.570728205487
AD1	NETWAS	0.60711659342
AD1	NETWAS	0.64498231576
AD1	NETWAS	0.574529879362
AD1	NETWAS	0.602977868436
AD1	NETWAS	0.635938840544
AD1	NETWAS	0.580795965892
AD1	NETWAS	0.563214592124
AD1	NETWAS	0.603654159298
AD1	NETWAS	0.60385770315
AD1	NETWAS	0.540846654877
AD1	NETWAS	0.600487192058
AD1	NETWAS	0.55916122424
AD1	NETWAS	0.656150963879
AD1	NETWAS	0.531984837077
AD1	NETWAS	0.623253462434
AD1	NETWAS	0.622375816364
AD1	NETWAS	0.561507450143
AD1	NETWAS	0.596768686639
AD1	NETWAS	0.583800973509
AD1	NETWAS	0.584457566579
AD1	NETWAS	0.572032637053
AD1	NETWAS	0.620541733056
AD1	NETWAS	0.642281529599
AD1	NETWAS	0.623629909128
AD1	NETWAS	0.558795720764
AD1	NETWAS	0.626135906011
AD1	NETWAS	0.660670512843
AD1	NETWAS	0.638622117556
AD1	NETWAS	0.601550872831
AD1	NETWAS	0.612148284979
AD1	NETWAS	0.524819218041
AD1	NETWAS	0.590165548999
AD1	NETWAS	0.518235778194
AD1	NETWAS	0.605722427468
AD1	NETWAS	0.64279148355
AD1	NETWAS	0.564411780155
AD1	NETWAS	0.56404627668
AD1	NETWAS	0.549684397598
AD1	NETWAS	0.60201048798
AD1	NETWAS	0.659878223872
AD1	NETWAS	0.586468930016
AD1	NETWAS	0.572244935479
AD1	NETWAS	0.53865144538
AD1	NETWAS	0.639987831142
AD1	NETWAS	0.654505103917
AD1	NETWAS	0.649880500061
AD1	NETWAS	0.607893561886
AD1	NETWAS	0.562649922084
AD1	NETWAS	0.583343547003
AD1	NETWAS	0.635061194474
AD1	NETWAS	0.574648066115
AD1	NETWAS	0.630521947718
AD1	NETWAS	0.654555442719
AD1	NETWAS	0.63821284121
AD1	NETWAS	0.696135293191
AD1	NETWAS	0.588200147077
AD1	NETWAS	0.607377042004
AD1	NETWAS	0.584834013272
AD1	NETWAS	0.671460525625
AD1	NETWAS	0.629933202598
AD1	NETWAS	0.515294241241
AD1	NETWAS	0.620668674382
AD1	NETWAS	0.618652933658
AD1	NETWAS	0.610920455938
AD1	NETWAS	0.57006723513
AD1	NETWAS	0.634995535167
AD1	NETWAS	0.583719993697
AD1	NETWAS	0.587486649274
AD1	NETWAS	0.628436170399
AD1	NETWAS	0.613233852188
AD1	NETWAS	0.615048237704
AD1	NETWAS	0.546123474515
AD1	NETWAS	0.630554777371
AD1	NETWAS	0.607639679232
AD1	NETWAS	0.556950694238
AD1	NETWAS	0.57676886173
AD1	NETWAS	0.55803845009
AD1	NETWAS	0.548984031657
AD1	NETWAS	0.631115070124
AD1	NETWAS	0.620909425175
AD1	NETWAS	0.647678724634
AD1	NETWAS	0.576943953216
AD1	NETWAS	0.603750459615
AD1	NETWAS	0.599970672176
AD1	NETWAS	0.529178996025
AD1	NETWAS	0.568005532891
AD1	NETWAS	0.532772748761
AD1	NETWAS	0.644850997146
AD1	NETWAS	0.547480433527
AD1	NETWAS	0.629434191865
AD1	NETWAS	0.593223084061
AD1	NETWAS	0.541844676343
AD1	NETWAS	0.601986412901
AD1	NETWAS	0.58424964544
AD1	NETWAS	0.619598427678
AD1	NETWAS	0.526872165707
AD1	NETWAS	0.617952567717
AD1	NETWAS	0.621299003729
AD1	NETWAS	0.565692136641
AD1	NETWAS	0.59217253515
AD1	NETWAS	0.586939488383
AD1	NETWAS	0.594098541488
AD1	NETWAS	0.622828865582
AD1	NETWAS	0.665373907867
AD1	NETWAS	0.559612084814
AD1	NETWAS	0.651338136676
AD1	NETWAS	0.590401922505
AD1	NETWAS	0.603638838793
AD1	NETWAS	0.569007931644
AD1	NETWAS	0.543764116751
AD1	NETWAS	0.54218610474
AD1	NETWAS	0.672929105458
AD1	NETWAS	0.654332201075
AD1	NETWAS	0.57620419169
AD1	NETWAS	0.570325495071
AD1	NETWAS	0.639436292963
AD1	NETWAS	0.597849876561
AD1	NETWAS	0.581502897764
AD1	NETWAS	0.514296219775
AD1	NETWAS	0.56405284261
AD1	NETWAS	0.625450860575
AD1	NETWAS	0.653395461629
AD1	NETWAS	0.656531787859
AD1	NETWAS	0.639064223557
AD1	NETWAS	0.554157985047
AD1	NETWAS	0.613067515277
AD1	NETWAS	0.568859103882
AD1	NETWAS	0.61908409644
AD1	NETWAS	0.584652355856
AD1	NETWAS	0.515683819796
AD1	NETWAS	0.597447166144
AD1	NETWAS	0.605068023042
AD1	NETWAS	0.581680177893
AD1	NETWAS	0.631055976748
AD1	NETWAS	0.596556388213
AD1	NETWAS	0.604229772556
AD1	NETWAS	0.598931066482
AD1	NETWAS	0.578287780365
AD1	NETWAS	0.652121671073
AD1	NETWAS	0.578208989197
AD1	NETWAS	0.5160055504
AD1	NETWAS	0.588278938245
AD1	NETWAS	0.614286589743
AD1	NETWAS	0.578600756395
AD1	NETWAS	0.616891075587
AD1	NETWAS	0.550400084044
AD1	NETWAS	0.560826781994
AD1	NETWAS	0.602662703763
AD1	NETWAS	0.615667623833
AD1	NETWAS	0.667573494651
AD1	NETWAS	0.584146779192
AD1	NETWAS	0.588173883354
AD1	NETWAS	0.580220352634
AD1	NETWAS	0.603938682962
AD1	NETWAS	0.591769824733
AD1	NETWAS	0.63821284121
AD1	NETWAS	0.613741617495
AD1	NETWAS	0.591964614011
AD1	NETWAS	0.673366834171
AD1	NETWAS	0.605243114527
AD1	NETWAS	0.583761577924
AD1	NETWAS	0.564705058393
AD1	NETWAS	0.567920175792
AD1	NETWAS	0.546499921209
AD1	NETWAS	0.642292472817
AD1	NETWAS	0.607022481747
AD1	NETWAS	0.62762637228
AD1	NETWAS	0.621920578502
AD1	NETWAS	0.64360128167
AD1	NETWAS	0.558338294259
AD1	NETWAS	0.579892056099
AD1	NETWAS	0.566013867246
AD1	NETWAS	0.54748262217
AD1	NETWAS	0.641023059549
AD1	NETWAS	0.589931364138
AD1	NETWAS	0.56427389561
AD1	NETWAS	0.571373855339
AD1	NETWAS	0.653229124718
AD1	NETWAS	0.643739166214
AD1	NETWAS	0.619462731777
AD1	NETWAS	0.575523523541
AD1	NETWAS	0.617661478122
AD1	NETWAS	0.594724493548
AD1	NETWAS	0.617742457934
AD1	NETWAS	0.572406895103
AD1	NETWAS	0.568546127852
AD1	NETWAS	0.579644739376
AD1	NETWAS	0.607129725281
AD1	NETWAS	0.63856302418
AD1	NETWAS	0.654761175214
AD1	NETWAS	0.622264195542
AD1	NETWAS	0.620848143155
AD1	NETWAS	0.605731182043
AD1	NETWAS	0.596171186945
AD1	NETWAS	0.580349482605
AD1	NETWAS	0.610874494423
AD1	NETWAS	0.584267154588
AD1	NETWAS	0.546145360951
AD1	NETWAS	0.587239332551
AD1	NETWAS	0.618142979707
AD1	NETWAS	0.596042056975
AD1	NETWAS	0.627617617705
AD1	NETWAS	0.597915535867
AD1	NETWAS	0.578405967118
AD1	NETWAS	0.671302943288
AD1	NETWAS	0.643235778194
AD1	NETWAS	0.597011626075
AD1	NETWAS	0.592448304239
AD1	NETWAS	0.611927231979
AD1	NETWAS	0.627630749567
AD1	NETWAS	0.669280636633
AD1	NETWAS	0.571548946825
AD1	NETWAS	0.661893964597
AD1	NETWAS	0.559520161785
AD1	NETWAS	0.585748866283
AD1	NETWAS	0.53470532103
AD1	NETWAS	0.660276557001
AD1	NETWAS	0.612113266682
AD1	NETWAS	0.5975303346
AD1	NETWAS	0.559984154221
AD1	NETWAS	0.613380491307
AD1	NETWAS	0.55816101413
AD1	NETWAS	0.547756202616
AD1	NETWAS	0.571859734211
AD1	NETWAS	0.644144065274
AD1	NETWAS	0.640648801499
AD1	NETWAS	0.567953005445
AD1	NETWAS	0.595687496717
AD1	NETWAS	0.604730971933
AD1	NETWAS	0.625210109782
AD1	NETWAS	0.690598024968
AD1	NETWAS	0.588659762226
AD1	NETWAS	0.627959046102
AD1	NETWAS	0.605547335983
AD1	NETWAS	0.641333846935
AD1	NETWAS	0.598488960482
AD1	NETWAS	0.62087002959
AD1	NETWAS	0.552752875878
AD1	NETWAS	0.597090417243
AD1	NETWAS	0.645958450791
AD1	NETWAS	0.583899462469
AD1	NETWAS	0.620856897729
AD1	NETWAS	0.6220912927
AD1	NETWAS	0.642126135906
AD1	NETWAS	0.53326300492
AD1	NETWAS	0.535272179714
AD1	NETWAS	0.597051021659
AD1	NETWAS	0.566040130968
AD1	NETWAS	0.665238211966
AD1	NETWAS	0.627740181745
AD1	NETWAS	0.593426627913
AD1	NETWAS	0.591406509901
AD1	NETWAS	0.612408733563
AD1	NETWAS	0.607539001628
AD1	NETWAS	0.602400066535
AD1	NETWAS	0.578859016336
AD1	NETWAS	0.546521807644
AD1	NETWAS	0.629193441073
AD1	NETWAS	0.609574440145
AD1	NETWAS	0.622975504701
AD1	NETWAS	0.653522402956
AD1	NETWAS	0.58124901511
AD1	NETWAS	0.660762435873
AD1	NETWAS	0.589826309247
AD1	NETWAS	0.630145501024
AD1	NETWAS	0.636223364208
AD1	NETWAS	0.574002416262
AD1	NETWAS	0.579688512248
AD1	NETWAS	0.539671353282
AD1	NETWAS	0.554324321958
AD1	NETWAS	0.61033827675
AD1	NETWAS	0.534738150684
AD1	NETWAS	0.630517570431
AD1	NETWAS	0.633818044928
AD1	NETWAS	0.586486439164
AD1	NETWAS	0.609738588412
AD1	NETWAS	0.576280794215
AD1	NETWAS	0.617670232697
AD1	NETWAS	0.66001173113
AD1	NETWAS	0.70389184599
AD1	NETWAS	0.661721061755
AD1	NETWAS	0.572991262935
AD1	NETWAS	0.575650464868
AD1	NETWAS	0.564122879204
AD1	NETWAS	0.63054821144
AD1	NETWAS	0.621754241591
AD1	NETWAS	0.627142682051
AD1	NETWAS	0.54760518621
AD1	NETWAS	0.512921751615
AD1	NETWAS	0.56702283193
AD1	NETWAS	0.651852467914
AD1	NETWAS	0.618364032707
AD1	NETWAS	0.631638155936
AD1	NETWAS	0.608287517728
AD1	NETWAS	0.683206975645
AD1	NETWAS	0.63358604871
AD1	NETWAS	0.624198956455
AD1	NETWAS	0.543227899077
AD1	NETWAS	0.636468492287
AD1	NETWAS	0.649858613626
AD1	NETWAS	0.536931171537
AD1	NETWAS	0.579066937475
AD1	NETWAS	0.619569975312
AD1	NETWAS	0.583083098419
AD1	NETWAS	0.619799782887
AD1	NETWAS	0.58049393308
AD1	NETWAS	0.633752385621
AD1	NETWAS	0.685027927092
AD1	NETWAS	0.553030833611
AD1	NETWAS	0.591336473307
AD1	NETWAS	0.559940381349
AD1	NETWAS	0.658510321643
AD1	NETWAS	0.611369127869
AD1	NETWAS	0.545287412673
AD1	NETWAS	0.543037487087
AD1	NETWAS	0.604962968151
AD1	NETWAS	0.592807241784
AD1	NETWAS	0.626378845447
AD1	NETWAS	0.595553989459
AD1	NETWAS	0.640077565528
AD1	NETWAS	0.630235235411
AD1	NETWAS	0.628433981755
AD1	NETWAS	0.623603645405
AD1	NETWAS	0.586090294679
AD1	NETWAS	0.588863306077
AD1	NETWAS	0.604013096843
AD1	NETWAS	0.661419028943
AD1	NETWAS	0.589259450563
AD1	NETWAS	0.609942132264
AD1	NETWAS	0.595823192618
AD1	NETWAS	0.628941747063
AD1	NETWAS	0.687776863411
AD1	NETWAS	0.556935373733
AD1	NETWAS	0.614899409942
AD1	NETWAS	0.622846374731
AD1	NETWAS	0.607363910143
AD1	NETWAS	0.680606867088
AD1	NETWAS	0.570964578993
AD1	NETWAS	0.568673069179
AD1	NETWAS	0.605057079824
AD1	NETWAS	0.651375343617
AD1	NETWAS	0.651206818062
AD1	NETWAS	0.630753943936
AD1	NETWAS	0.554477527008
AD1	NETWAS	0.606359322746
AD1	NETWAS	0.685445958013
AD1	NETWAS	0.602172447604
AD1	NETWAS	0.628652846112
AD1	NETWAS	0.62622126311
AD1	NETWAS	0.533357116593
AD1	NETWAS	0.611447919038
AD1	NETWAS	0.60147645895
AD1	NETWAS	0.539861765272
AD1	NETWAS	0.57466995255
AD1	NETWAS	0.612312433246
AD1	NETWAS	0.565779682384
AD1	NETWAS	0.579034107821
AD1	NETWAS	0.534893544377
AD1	NETWAS	0.62177175074
AD1	NETWAS	0.627175511705
AD1	NETWAS	0.604792253953
AD1	NETWAS	0.61597841122
AD1	NETWAS	0.581695498398
AD1	NETWAS	0.636011065782
AD1	NETWAS	0.623432931207
AD1	NETWAS	0.56508369373
AD1	NETWAS	0.622531210057
AD1	NETWAS	0.538767443489
AD1	NETWAS	0.628204174181
AD1	NETWAS	0.645463817345
AD1	NETWAS	0.576068495789
AD1	NETWAS	0.556464815366
AD1	NETWAS	0.559533293646
AD1	NETWAS	0.610712534799
AD1	NETWAS	0.654268730412
AD1	NETWAS	0.657332831404
AD1	NETWAS	0.60275900408
AD1	NETWAS	0.513978866458
AD1	NETWAS	0.664494073153
AD1	NETWAS	0.563418135976
AD1	NETWAS	0.618427503371
AD1	NETWAS	0.510411377445
AD1	NETWAS	0.576131966452
AD1	NETWAS	0.644424211651
AD1	NETWAS	0.588027244235
AD1	NETWAS	0.60336088106
AD1	NETWAS	0.577541452909
AD1	NETWAS	0.615306497645
AD1	NETWAS	0.660760247229
AD1	NETWAS	0.580760947595
AD1	NETWAS	0.599905012869
AD1	NETWAS	0.642095494896
AD1	NETWAS	0.567178225623
AD1	NETWAS	0.696789697617
AD1	NETWAS	0.59130145501
AD1	NETWAS	0.545845516783
AD1	NETWAS	0.612870537356
AD1	NETWAS	0.615302120358
AD1	NETWAS	0.625547160892
AD1	NETWAS	0.631215747728
AD1	NETWAS	0.556447306217
AD1	NETWAS	0.639545725141
AD1	NETWAS	0.605748691191
AD1	NETWAS	0.559918494914
AD1	NETWAS	0.61654308126
AD1	NETWAS	0.542693870047
AD1	NETWAS	0.558410519496
AD1	NETWAS	0.648214942307
AD1	NETWAS	0.608762453382
AD1	NETWAS	0.625879834714
AD1	NETWAS	0.529192127887
AD1	NETWAS	0.573706949381
AD1	NETWAS	0.663664577242
AD1	NETWAS	0.620300982263
AD1	NETWAS	0.54014847758
AD1	NETWAS	0.621620734334
AD1	NETWAS	0.568338206713
AD1	NETWAS	0.606407472905
AD1	NETWAS	0.532840596712
AD1	NETWAS	0.572496629489
AD1	NETWAS	0.618534746905
AD1	NETWAS	0.668599968484
AD1	NETWAS	0.575595748779
AD1	NETWAS	0.565000525274
AD1	NETWAS	0.652467476757
AD1	NETWAS	0.597685728293
AD1	NETWAS	0.619841367114
AD1	NETWAS	0.648304676694
AD1	NETWAS	0.58394323534
AD1	NETWAS	0.599012046294
AD1	NETWAS	0.613553394148
AD1	NETWAS	0.618694517886
AD1	NETWAS	0.579198256089
AD1	NETWAS	0.579519986693
AD1	NETWAS	0.65271479348
AD1	NETWAS	0.614166214347
AD1	NETWAS	0.505053577995
AD1	NETWAS	0.611060529126
AD1	NETWAS	0.530573161977
AD1	NETWAS	0.582354280111
AD1	NETWAS	0.657433509008
AD1	NETWAS	0.633253374888
AD1	NETWAS	0.596298128272
AD1	NETWAS	0.605052702537
AD1	NETWAS	0.640294241241
AD1	NETWAS	0.581988776636
AD1	NETWAS	0.584030781083
AD1	NETWAS	0.590695200742
AD1	NETWAS	0.603894910091
AD1	NETWAS	0.600878959256
AD1	NETWAS	0.568642428169
AD1	NETWAS	0.616571533626
AD1	NETWAS	0.621876805631
AD1	NETWAS	0.603831439427
AD1	NETWAS	0.521818587712
